t,mmsi,lon,lat,speed,course
01/03/2011 00:00:00,636012690.0,10.806017,55.7892,12.2,176.6
01/03/2011 00:00:00,245914000.0,7.984033,55.128283,3.0,128.8
01/03/2011 00:00:00,992111840.0,12.629948,54.612952,0,0
01/03/2011 00:00:00,219015583.0,8.307367,56.551548,0.0,0.0
01/03/2011 00:00:00,219004838.0,11.928708,54.572008,0.0,17.8
01/03/2011 00:00:00,265186000.0,13.568943,54.775812,15.2,156.9
01/03/2011 00:00:00,219801000.0,9.964817,57.592883,0.0,0.0
01/03/2011 00:00:00,256587000.0,8.9302,57.416375,14.1,51.1
01/03/2011 00:00:00,219007333.0,14.93125,54.700317,0.1,335.7
01/03/2011 00:00:00,231201000.0,10.060023,57.764525,15.7,13.1
01/03/2011 00:00:00,258606000.0,10.727282,57.367525,14.2,5.9
01/03/2011 00:00:00,2573115.0,9.7,59.233333,0,0
01/03/2011 00:00:00,2655185.0,14.775318,56.22696,0,0
01/03/2011 00:00:01,211410690.0,11.491625,57.168453,9.5,150.8
01/03/2011 00:00:01,219002827.0,10.587308,57.717488,0.0,336.9
01/03/2011 00:00:01,215729000.0,12.629912,54.627027,1.0,56.6
01/03/2011 00:00:01,219159000.0,11.086,55.677333,0.0,305.8
01/03/2011 00:00:01,219679000.0,11.096798,55.6746,6.8,271.0
01/03/2011 00:00:01,236561000.0,12.996733,55.24179,11.0,98.8
01/03/2011 00:00:01,219008474.0,9.954283,57.591617,0.0,359.9
01/03/2011 00:00:01,219001751.0,8.598033,57.1227,0.0,198.6
01/03/2011 00:00:01,265663280.0,11.898288,57.692295,0.0,333.5
01/03/2011 00:00:01,219440000.0,4.228393,56.078402,0.0,278.7
01/03/2011 00:00:01,273356200.0,10.3037,57.780945,8.6,263.5
01/03/2011 00:00:01,261006470.0,14.373063,54.019658,8.2,33.9
01/03/2011 00:00:01,220046000.0,9.96141,57.593755,0.0,20.2
01/03/2011 00:00:01,211910000.0,8.245333,57.05405,23.2,40.1
01/03/2011 00:00:01,220378000.0,12.318,55.4345,16.0,131.0
01/03/2011 00:00:01,304010928.0,10.90415,57.703767,10.9,138.0
01/03/2011 00:00:01,277339000.0,15.611372,54.97645,20.5,75.0
01/03/2011 00:00:01,311411000.0,13.016225,55.180037,13.4,321.1
01/03/2011 00:00:01,219886000.0,181.0,91.0,0,0
01/03/2011 00:00:01,265410000.0,11.606113,57.608057,17.2,253.8
01/03/2011 00:00:01,211215340.0,11.636305,54.387007,10.4,130.6
01/03/2011 00:00:01,211327150.0,9.579002,54.21115,7.2,53.5
01/03/2011 00:00:01,265527470.0,12.546045,56.199238,0.0,7.0
01/03/2011 00:00:01,2190047.0,12.613717,55.69725,0,0
01/03/2011 00:00:01,565589000.0,10.88985,57.715933,12.6,136.0
01/03/2011 00:00:01,219000733.0,10.259517,54.941767,0.0,0.0
01/03/2011 00:00:01,205586000.0,12.830452,55.855852,0.0,154.6
01/03/2011 00:00:01,377664000.0,12.422755,55.477638,0.0,342.4
01/03/2011 00:00:01,357562000.0,8.285133,57.254717,16.2,58.0
01/03/2011 00:00:01,219008996.0,12.611983,55.695532,0.0,66.6
01/03/2011 00:00:01,265260000.0,10.865583,54.741467,11.0,174.0
01/03/2011 00:00:01,266039000.0,11.137507,56.099747,17.6,208.0
01/03/2011 00:00:01,219012685.0,12.68294,54.829758,9.3,52.2
01/03/2011 00:00:01,305601000.0,15.702617,54.828517,15.0,97.0
01/03/2011 00:00:01,273416080.0,11.273378,57.523577,9.1,296.2
01/03/2011 00:00:01,211231520.0,10.162833,54.3425,6.6,180.0
01/03/2011 00:00:01,2190065.0,8.115165,55.560718,0,0
01/03/2011 00:00:01,265007000.0,8.496152,57.292723,14.6,51.8
01/03/2011 00:00:01,266041000.0,11.606333,54.252333,18.5,61.0
01/03/2011 00:00:01,311969000.0,9.201333,57.8325,12.1,33.0
01/03/2011 00:00:01,220338000.0,181.0,91.0,0,0
01/03/2011 00:00:01,219009273.0,8.598367,57.122517,1.4,5.0
01/03/2011 00:00:01,265610950.0,12.997305,55.613713,0.0,129.9
01/03/2011 00:00:01,257307000.0,10.06147,57.04981,0.0,230.0
01/03/2011 00:00:01,992191024.0,10.843057,54.919928,0,0
01/03/2011 00:00:01,232003651.0,181.0,91.0,0,0
01/03/2011 00:00:01,2655130.0,14.158068,55.668103,0,0
01/03/2011 00:00:01,215140000.0,15.207512,55.567152,12.6,59.2
01/03/2011 00:00:01,219230000.0,12.691138,56.043238,0.0,30.7
01/03/2011 00:00:01,220453000.0,9.972843,57.593463,0.0,9.1
01/03/2011 00:00:01,219537000.0,10.908378,55.885675,14.3,40.0
01/03/2011 00:00:01,249127000.0,7.83302,56.931635,9.4,239.4
01/03/2011 00:00:01,219002317.0,12.694453,55.53699,10.0,356.0
01/03/2011 00:00:01,219171000.0,8.443975,55.464157,0.0,303.3
01/03/2011 00:00:01,219004266.0,8.22256,56.705323,0.1,10.6
01/03/2011 00:00:01,212097000.0,10.89772,54.909207,11.1,15.5
01/03/2011 00:00:01,211397660.0,11.639527,57.104635,13.0,160.2
01/03/2011 00:00:01,219004242.0,181.0,91.0,0,0
01/03/2011 00:00:01,219262000.0,11.131723,55.334242,0.0,99.2
01/03/2011 00:00:01,311814000.0,8.507418,57.774297,14.0,268.0
01/03/2011 00:00:01,265349000.0,8.534267,57.685908,1.8,65.5
01/03/2011 00:00:01,209642000.0,10.721147,57.417682,11.0,4.2
01/03/2011 00:00:01,219014374.0,11.101207,55.676113,0.1,350.2
01/03/2011 00:00:01,248811000.0,10.80084,55.729822,16.3,10.0
01/03/2011 00:00:01,219000463.0,10.56993,55.516175,0.1,273.0
01/03/2011 00:00:01,219043000.0,4.211962,56.369802,0.4,141.1
01/03/2011 00:00:01,220000054.0,9.175067,56.709,0.0,31.0
01/03/2011 00:00:01,266203000.0,10.66301,57.67751,0.1,318.0
01/03/2011 00:00:01,992191508.0,4.758667,55.579667,0,0
01/03/2011 00:00:01,992191529.0,4.56165,55.834082,0,0
01/03/2011 00:00:01,2190076.0,9.502143,55.674673,0,0
01/03/2011 00:00:01,219011248.0,10.355727,56.96762,1.6,163.7
01/03/2011 00:00:01,636011573.0,12.2181,54.545967,11.5,198.0
01/03/2011 00:00:01,304010714.0,13.279933,54.70965,11.8,265.0
01/03/2011 00:00:01,265217000.0,12.128768,54.156722,0.0,308.0
01/03/2011 00:00:01,304010723.0,9.507028,57.547263,10.1,243.2
01/03/2011 00:00:01,211824000.0,10.985338,54.373253,0.1,354.5
01/03/2011 00:00:01,211230400.0,11.264667,54.580833,10.1,292.0
01/03/2011 00:00:01,2190069.0,9.824128,57.003823,0,0
01/03/2011 00:00:01,265246000.0,10.780248,57.674308,0.1,45.1
01/03/2011 00:00:01,211225390.0,11.191223,54.419848,0.0,326.5
01/03/2011 00:00:01,236407000.0,9.638112,57.763747,13.0,73.5
01/03/2011 00:00:01,219002682.0,12.614572,56.042887,0.0,319.3
01/03/2011 00:00:01,220464000.0,9.905997,57.711198,20.0,257.0
01/03/2011 00:00:01,304936000.0,12.644462,55.899863,11.3,160.0
01/03/2011 00:00:01,311026000.0,6.850897,55.541995,9.8,161.1
01/03/2011 00:00:01,219006113.0,11.128115,57.321287,0.0,331.5
01/03/2011 00:00:01,266331000.0,10.785608,55.65712,18.0,6.7
01/03/2011 00:00:01,273334800.0,181.0,91.0,0,0
01/03/2011 00:00:01,219001522.0,10.585437,57.717618,0.0,325.1
01/03/2011 00:00:01,219002159.0,10.59278,57.71825,0.0,150.2
01/03/2011 00:00:01,992191027.0,10.861665,55.902018,0,0
01/03/2011 00:00:01,2655135.0,13.270358,55.478315,0,0
01/03/2011 00:00:01,211247340.0,9.71535,54.318483,0.0,0.0
01/03/2011 00:00:01,219005465.0,10.670572,54.751292,0.0,329.1
01/03/2011 00:00:01,219002732.0,10.549643,57.439347,0.0,156.0
01/03/2011 00:00:01,211518140.0,7.468017,55.391333,3.3,89.5
01/03/2011 00:00:01,211800000.0,11.424488,57.220383,9.4,159.0
01/03/2011 00:00:02,2190077.0,14.879105,55.149087,0,0
01/03/2011 00:00:02,219461000.0,12.042342,54.89227,0.0,323.3
01/03/2011 00:00:02,265228000.0,12.72413,54.665863,11.6,66.0
01/03/2011 00:00:02,211629000.0,10.513552,55.5775,9.6,147.1
01/03/2011 00:00:02,2190067.0,9.55263,54.966167,0,0
01/03/2011 00:00:02,273133200.0,10.927352,54.689237,11.9,299.4
01/03/2011 00:00:02,233150000.0,15.698433,55.7276,14.4,62.0
01/03/2011 00:00:02,258808000.0,12.696867,55.630283,12.4,359.0
01/03/2011 00:00:02,244759000.0,8.041135,55.093387,9.0,272.3
01/03/2011 00:00:02,219338000.0,8.415328,55.475345,0.0,11.1
01/03/2011 00:00:02,211211250.0,10.04641,54.767687,11.7,328.1
01/03/2011 00:00:02,219005901.0,8.599698,57.122575,0.0,297.2
01/03/2011 00:00:02,376474000.0,12.675892,55.76533,8.8,180.2
01/03/2011 00:00:02,377801000.0,12.470775,54.833697,8.9,212.8
01/03/2011 00:00:02,305117000.0,15.472333,55.649,13.7,65.0
01/03/2011 00:00:02,219000546.0,9.423862,55.040555,0.0,295.7
01/03/2011 00:00:02,211430000.0,11.19089,54.421617,0.0,176.3
01/03/2011 00:00:02,215681000.0,12.754742,55.271573,14.0,111.3
01/03/2011 00:00:02,220352000.0,12.467128,54.95253,0.0,0.0
01/03/2011 00:00:02,305654000.0,9.57221,54.207903,5.9,50.0
01/03/2011 00:00:02,219000547.0,10.308212,56.990218,0.0,278.8
01/03/2011 00:00:02,219000961.0,10.833655,54.93389,0.0,335.9
01/03/2011 00:00:02,219009267.0,11.125878,55.332253,0.0,272.5
01/03/2011 00:00:02,992191020.0,11.097095,55.254717,0,0
01/03/2011 00:00:02,220174000.0,9.6989,57.559662,16.4,59.6
01/03/2011 00:00:02,220334000.0,10.587983,57.717933,0.0,0.0
01/03/2011 00:00:02,219087000.0,8.224763,56.702978,0.0,359.9
01/03/2011 00:00:02,246384000.0,12.093017,54.156033,0.1,53.0
01/03/2011 00:00:02,255801540.0,11.865333,56.741333,18.2,168.0
01/03/2011 00:00:02,257689000.0,12.236018,54.456677,14.8,29.0
01/03/2011 00:00:02,219689000.0,8.2225,56.6983,0.0,306.9
01/03/2011 00:00:02,245882000.0,181.0,91.0,0,0
01/03/2011 00:00:02,2190052.0,11.196913,54.872387,0,0
01/03/2011 00:00:02,211215210.0,12.091602,54.17976,0.1,296.7
01/03/2011 00:00:02,311995000.0,10.264855,57.791432,18.9,76.0
01/03/2011 00:00:02,219000417.0,10.923035,56.41269,0.0,278.9
01/03/2011 00:00:02,219000062.0,12.04125,54.892385,0.0,354.5
01/03/2011 00:00:02,2655150.0,12.058618,57.694,0,0
01/03/2011 00:00:02,219015579.0,7.998963,55.502742,10.8,290.0
01/03/2011 00:00:02,377411000.0,14.376333,55.270498,11.0,219.0
01/03/2011 00:00:02,219138000.0,8.218667,56.696533,0.1,9.0
01/03/2011 00:00:02,219002418.0,14.972017,55.212365,0.0,173.0
01/03/2011 00:00:02,265177000.0,11.690783,57.630527,17.0,26.1
01/03/2011 00:00:02,219004144.0,14.797867,54.719287,0.7,74.0
01/03/2011 00:00:02,244967000.0,12.434192,54.572185,9.8,59.0
01/03/2011 00:00:02,564698000.0,9.547487,57.723218,11.7,256.2
01/03/2011 00:00:02,259222000.0,11.619618,56.519588,19.2,210.1
01/03/2011 00:00:02,231730000.0,10.588872,57.71719,0.0,2.0
01/03/2011 00:00:02,992191516.0,5.07835,55.402067,0,0
01/03/2011 00:00:02,992191509.0,4.759832,55.580767,0,0
01/03/2011 00:00:02,219000479.0,11.962683,54.471733,15.4,346.3
01/03/2011 00:00:02,244806000.0,7.284662,55.591417,5.0,309.6
01/03/2011 00:00:02,259898000.0,11.430333,56.529833,14.6,50.0
01/03/2011 00:00:02,219007844.0,10.67058,54.750893,0.0,351.3
01/03/2011 00:00:02,245882000.0,10.037583,56.68245,0.0,2.0
01/03/2011 00:00:02,259448000.0,9.956957,57.592568,0.0,60.8
01/03/2011 00:00:02,220343000.0,10.585662,57.71772,0.0,168.4
01/03/2011 00:00:02,211316340.0,13.405433,54.865683,5.3,0.9
01/03/2011 00:00:02,246162000.0,12.842172,56.652033,5.1,79.2
01/03/2011 00:00:02,211211290.0,10.036257,54.777967,11.6,329.5
01/03/2011 00:00:02,219001261.0,9.633717,56.988383,0.0,6.0
01/03/2011 00:00:02,261201000.0,11.540817,54.174825,8.6,23.9
01/03/2011 00:00:02,219226000.0,8.127833,55.4265,14.5,271.0
01/03/2011 00:00:02,2190074.0,10.574652,57.738675,0,0
01/03/2011 00:00:02,219796000.0,15.135618,55.059095,0.0,318.5
01/03/2011 00:00:02,235007859.0,10.618662,57.441565,0.0,3.9
01/03/2011 00:00:02,219000589.0,13.855808,54.896222,9.7,118.0
01/03/2011 00:00:02,209696000.0,11.376,54.545113,15.4,295.0
01/03/2011 00:00:02,219002416.0,10.216207,56.15289,0.0,109.0
01/03/2011 00:00:02,211304040.0,7.158412,55.195018,0,0
01/03/2011 00:00:02,211188000.0,11.241317,54.517377,14.8,24.3
01/03/2011 00:00:02,219002767.0,11.510513,56.716042,0.0,12.6
01/03/2011 00:00:02,219000543.0,10.505283,57.492042,0.0,291.8
01/03/2011 00:00:02,257049000.0,3.39297,56.278232,0,0
01/03/2011 00:00:02,219001461.0,181.0,91.0,0,0
